Chemical Name,Chemical Formula
Hydrogen,H+
Ammonium,NH4+
Hydronium,H3O+
Sodium,Na+
Potassium,K+
Silver,Ag+
Copper(I),Cu+
Mercury(I),Hg+
Copper(II),Cu2+
Calcium,Ca2+
Lead(I),Pb2+
Zinc,Zn2+
Magnesium,Mg2+
Iron(I),Fe2+
Mercury(II),Hg2+
Iron(II),Fe3+
Aluminium,Al3+
Lead(II),Pb4+
Hydride,H-
Oxide,O2-
Hydroxide,OH-
Carbonate,CO3(2-)
Bicarbonate,HCO3(-)
Phosphate,PO4(3-)
Phosphite,PO3(3-)
Phosphide,P3-
Nitrate,NO3(-)
Nitrite,NO2(-)
Nitride,N3-
Sulphate,SO4(2-)
Sulphite,SO3(2-)
Sulphide,S2-
Chloride,Cl-
Hypochlorite,ClO-
Chlorite,ClO2(-)
Chlorate,ClO3(-)
perChlorate,ClO4(-)
Zincate,ZnO2(2-)
Aluminate,AlO2(-)
